config.browser	config.browser_version	config.os	config.os_version	config.device	headers.host	headers.user-agent	headers.accept	headers.accept-language	headers.accept-encoding	headers.content-length	headers.content-type	headers.connection	headers.cookie	headers.referer	headers.cache-control	headers.origin	headers.x-requested-with	headers.accept-charset	headers.pragma	headers.ua-cpu	headers.x-forwarded-for	body.blocked-uri	body.document-uri	body.effective-directive	body.original-policy	body.referrer	body.status-code	body.violated-directive	body.source-file	body.line-number	body.column-number	body.request	body.request-headers	body.document-url	body.script-sample
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	210	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	209	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	207	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	207	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	211	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	207	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	209	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	209	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	209	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
chrome	14.0	OS X	Lion	----	45.55.25.245:8123	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1	*/*	en-US,en;q=0.8	gzip,deflate,sdch	209	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=OS%20X&device=&browser_version=14.0&browser=chrome&os_version=Lion	----	null	----	ISO-8859-1,utf-8;q=0.7,*;q=0.3	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----	----
