config.browser	config.browser_version	config.os	config.os_version	headers.host	headers.user-agent	headers.accept	headers.accept-language	headers.accept-encoding	headers.content-length	headers.content-type	headers.connection	headers.cookies	headers.referer	headers.cache-control	headers.origin	headers.x-requested-with	headers.accept-charset	headers.pragma	headers.ua-cpu	body.blocked-uri	body.document-uri	body.effective-directive	body.original-policy	body.referrer	body.status-code	body.violated-directive	body.source-file	body.line-number	body.column-number	body.request	body.request-headers	body.document-url	body.script-sample
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	662	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://raw.githubusercontent.com	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	script-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	661	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://raw.githubusercontent.com	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	style-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	656	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://farm8.staticflickr.com	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	img-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	648	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://google.com	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	default-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	656	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://upload.wikimedia.org	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	media-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	655	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://media.bradsucks.net	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	media-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	659	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://clips.vorwaerts-gmbh.de	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	media-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	631	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	data	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	img-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	637	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	filesystem	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	img-src 'self' https:	----	----	----	----	----	----	----
Edge	0.11	Windows	10.0	45.55.25.245:8000	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0	*/*	en-US	gzip, deflate	653	application/json	Keep-Alive	----	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	no-cache	----	----	----	----	AMD64	http://www.flashppt.com	http://45.55.25.245:8123/csp?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0	----	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Edge&browser_version=0.11&os=Windows&os_version=10.0		----	object-src 'self' https:	----	----	----	----	----	----	----
Chrome	44.0	OS X	Yosemite	45.55.25.245:8000	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36	*/*	en-US,en;q=0.8	gzip, deflate	763	application/csp-report	keep-alive	----	http://45.55.25.245:8123/csp?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768	----	http://45.55.25.245:8123	----	----	----	----	http://raw.githubusercontent.com	http://45.55.25.245:8123/csp?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768	style-src	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768		200	style-src 'self' https:	----	----	----	----	----	----	----
Chrome	44.0	OS X	Yosemite	45.55.25.245:8000	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36	*/*	en-US,en;q=0.8	gzip, deflate	765	application/csp-report	keep-alive	----	http://45.55.25.245:8123/csp?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768	----	http://45.55.25.245:8123	----	----	----	----	http://raw.githubusercontent.com	http://45.55.25.245:8123/csp?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768	script-src	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768		200	script-src 'self' https:	----	----	----	----	----	----	----
Chrome	44.0	OS X	Yosemite	45.55.25.245:8000	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36	*/*	en-US,en;q=0.8	gzip, deflate	756	application/csp-report	keep-alive	----	http://45.55.25.245:8123/csp?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768	----	http://45.55.25.245:8123	----	----	----	----	http://farm8.staticflickr.com	http://45.55.25.245:8123/csp?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768	img-src	default-src 'self' https:; child-src 'self' https:; connect-src 'self' https:; font-src 'self' https:; img-src 'self' https:; media-src 'self' https:; object-src 'self' https:; script-src 'self' https:; style-src 'self' https:; form-action 'self' https:; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8000/csp-report?browser=Chrome&browser_version=44.0&os=OS%20X&os_version=Yosemite&resolution=1024x768		200	img-src 'self' https:	----	----	----	----	----	----	----
